Plant ID,Plant Name,Latitude,Longitude
62262,Rolling Upland Wind Farm LLC,42.899029,-75.458456
62715,Wildcat Creek Wind Farm LLC,33.550555,-97.329444
62801,ORNI 34 LLC,34.407284,-119.511582
